id,name_in_english,name_in_spanish,countries,country_code,degree_of_endangerment,number_of_speakers,latitude,longitude
91,Burji,buryí,Kenya,KEN,Vulnerable,7000.0,2.1857,37.9248
2431,Choyi,queyu,China,CHN,Definitely endangered,7000.0,30.8519,99.6659
2061,Gazi,gazi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,32.8036,51.6211
2433,Guichong,guichión,China,CHN,Vulnerable,7000.0,30.8148,101.7021
1332,Karagash,tofa,Russian Federation,RUS,Definitely endangered,7000.0,47.2643,47.2412
1786,Natanzi,natanzí,Iran (Islamic Republic of),IRN,Severely endangered,7000.0,33.452,51.3006
1783,Nayini,nayiní,Iran (Islamic Republic of),IRN,Severely endangered,7000.0,32.8519,53.1573
1439,Parya,parya,"Uzbekistan, Tajikistan, Afghanistan","UZB, TJK, AFG",Severely endangered,7000.0,38.5094,68.0932
103,Segeju,daiso,United Republic of Tanzania,TZA,Severely endangered,7000.0,-4.8173,39.0783
1795,Sivandi,sivandi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,29.9168,51.5945
2302,Soi,soi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,31.6533,55.6787
1852,Tucano (Brazil),tucano (Brasil),Brazil,BRA,Vulnerable,7000.0,0.1757,-67.2363
320,Wapishana (Guyana),wapishana (Guyana),Guyana,GUY,Vulnerable,7000.0,2.3065,-59.6997
1739,Yulu,yulu,"Central African Republic, Democratic Republic of the Congo, Sudan","CAF, ZAI, SDN",Vulnerable,7000.0,8.3854,24.1754
2438,Zhaba,chaba,China,CHN,Vulnerable,7000.0,31.4,100.4734
1828,Sakapultek,sacapulteco,Guatemala,GTM,Definitely endangered,6973.0,14.9752,-91.0527
1677,Chara,chara,Ethiopia,ETH,Vulnerable,6932.0,6.479,36.3647
2339,Kosraean,kosreano,"Micronesia (Federated States of), Nauru","FSM, NRU",Severely endangered,6900.0,5.322,162.9904
1902,Waunana (Panama),waumeo (Panamá),Panama,PAN,Severely endangered,6882.0,8.2984,-78.1018
694,San Francisco del Mar Huave,huave de San Francisco del Mar,Mexico,MEX,Critically endangered,6874.0,16.3333,-94.5166
692,Northern East Cree,clisteno nororiental,Canada,CAN,Vulnerable,6870.0,53.6916,-78.8011
1317,Micmac (Canada),micmac (Canadá),Canada,CAN,Vulnerable,6850.0,45.9646,-60.6172
2720,Northern Tepehuán,tepehuano septentrional,Mexico,MEX,Definitely endangered,6802.0,26.4258,-107.2683
1087,Miju,miju,"China, India","CHN, IND",Vulnerable,6700.0,28.1155,96.2896
879,Rio Grande Keresan,queresano de Río Grande,United States of America,USA,Definitely endangered,6685.0,35.5147,-106.3655
1281,Western Mazatec,mazateco del oeste,Mexico,MEX,Vulnerable,6639.0,18.1351,-96.9057
1676,Bussa,busa,Ethiopia,ETH,Vulnerable,6624.0,5.7225,37.1406
1694,Beli,beli,Sudan,SDN,Definitely endangered,6600.0,6.4736,29.2675
2444,Chesu,chesu,China,CHN,Definitely endangered,6600.0,24.4211,102.0459
57,Thuri,thuri,Sudan,SDN,Vulnerable,6600.0,8.4397,25.4333
1053,Karata,karata,Russian Federation,RUS,Definitely endangered,6574.0,42.5874,46.3348
2375,Saulteau,saulteaux,Canada,CAN,Vulnerable,6558.0,50.5573,-98.6562
1166,Kumāle,kumhali,Nepal,NPL,Severely endangered,6533.0,27.788,84.548
929,Lower Northwestern Otomí,otomí noroccidental bajo,Mexico,MEX,Vulnerable,6509.0,20.1865,-100.1469
83,Dimme,dimé,Ethiopia,ETH,Vulnerable,6501.0,5.9548,36.2988
585,Chiquitano (Bolivia),Chiquitano (Bolivia),Bolivia (Plurinational State of),BOL,Definitely endangered,6500.0,-16.5835,-61.6113
1729,Tumtum,tumtum,Sudan,SDN,Severely endangered,6500.0,10.477,30.4321
1042,Bezhta,bejila,Russian Federation,RUS,Definitely endangered,6461.0,42.1369,46.1508
